name,year,song_name,performed_by
The Intouchables,2011,September,"Earth Wind & Fire (as Earth, Wind & Fire)"
The Intouchables,2011,Boogie Wonderland,"Earth Wind & Fire (as Earth, Wind & Fire)"
The Intouchables,2011,"Ave Maria, D.839",
The Intouchables,2011,The Ghetto,George Benson
The Intouchables,2011,You're Goin' Miss Your Candyman,Terry Callier
The Intouchables,2011,"Nocturne in Si bémol Mineur, Op.9. No 1",Livia Rev
The Intouchables,2011,"Nein, länger trag' ich nicht die Qualen... Durch die Wälder, durch die Auen",
The Intouchables,2011,Feeling Good,Nina Simone and Hal Mooney
The Intouchables,2011,L'Eté: Adagio,Le Capriccio Français
The Intouchables,2011,Colombine Ouverture Burlesque,Le Capriccio Français
The Intouchables,2011,Les Indes galantes,Le Capriccio Français
The Intouchables,2011,Concerto Grosso,Le Capriccio Français
The Intouchables,2011,L'hiver,Le Capriccio Français
The Intouchables,2011,Prélude: Suite Violoncelle n° 1,Le Capriccio Français
The Intouchables,2011,Suite n° 2: Badinerie,Le Capriccio Français
The Intouchables,2011,Le Printemps: Ier Mouvement,Le Capriccio Français
The Intouchables,2011,Concerto in Fa mineur,Le Capriccio Français
The Intouchables,2011,Le vol du Bourdon,Le Capriccio Français
The Intouchables,2011,"Concerto for 2 Violins and Orchestra in La Mineur, Op.3 N° 8",Orchestra da camera dell'Angelicum di Milano (as L'Angelicum de Milan)
The Intouchables,2011,Ein Mädchen oder Weibchen,
The Intouchables,2011,L'hiver,Le Capriccio Français
Modern Times,1936,"Hallelujah, I'm a Bum",
Modern Times,1936,The Prisoner's Song,
Modern Times,1936,How Dry I Am,
Modern Times,1936,In the Evening by the Moonlight,waiters in the cafe
Modern Times,1936,Je Cherche après Titine,Charles Chaplin
Modern Times,1936,Theme from Modern Times,
Once Upon a Time in the West,1968,Danny Boy,
Once Upon a Time in the West,1968,C'era una volta il West,
Once Upon a Time in the West,1968,Come Una Sentenza,
Once Upon a Time in the West,1968,Addio A Cheyenne,
Once Upon a Time in the West,1968,L'Attentato,
Once Upon a Time in the West,1968,La Posada N.1,
Once Upon a Time in the West,1968,La Posada N.2,
Once Upon a Time in the West,1968,L'Uomo Dell'Armonica,
Once Upon a Time in the West,1968,In Una Stanza Con Poca Luce,
Once Upon a Time in the West,1968,L'Uomo,
Once Upon a Time in the West,1968,L'Orchestraccia,
Once Upon a Time in the West,1968,L'America Di Jill,
Once Upon a Time in the West,1968,L'Ultimo Rantolo,
Once Upon a Time in the West,1968,Finale,
Grave of the Fireflies,1988,Home Sweet Home,Amelita Galli-Curci
Grave of the Fireflies,1988,Gunkan kôshinkyoku,
Alien,1979,Incidental music from 'Symphony No. 2 ('Romantic')',
Alien,1979,Eine kleine Nachtmusik,
Alien,1979,You Are My Lucky Star,Sigourney Weaver
Rear Window,1954,Excerpt from 'Fancy Free',
Rear Window,1954,To See You (Is to Love You),Bing Crosby
Rear Window,1954,Lisa,
Rear Window,1954,That's Amore,
Rear Window,1954,Mona Lisa,
Rear Window,1954,Instrumental excerpt from 'Red Garters',
Rear Window,1954,Many Dreams Ago,
Rear Window,1954,"Martha, oder Der Markt zu Richmond",
Rear Window,1954,Il carnevale di Venezia,
Rear Window,1954,"Balettmusik, nr 2, G-dur.",
Rear Window,1954,Lover,
City Lights,1931,Flower Girl Theme,
City Lights,1931,The Star Spangled Banner,
City Lights,1931,How Dry I Am,
City Lights,1931,Beautiful Wonderful Eyes,
City Lights,1931,Tomorrow the Sun Will Shine,
City Lights,1931,Happy Romance,
City Lights,1931,Promenade,
City Lights,1931,Orientale,
City Lights,1931,La Violetera,
Memento,2000,Something in the Air,David Bowie
Memento,2000,Stone,
Memento,2000,Generation Z,
Memento,2000,Motherlode,
Memento,2000,Ipanema Dreaming,Daniel May
Memento,2000,Do the Boogaloo,Quango & Sparky Sonoton Music Library
Apocalypse Now,1979,The End,The Doors
Apocalypse Now,1979,(I Can't Get No) Satisfaction,The Rolling Stones
Apocalypse Now,1979,"Love Me, And Let Me Love You",
Apocalypse Now,1979,The Ride of the Valkyries,Wiener Philharmoniker (as The Vienna Philharmonic Orchestra)
Apocalypse Now,1979,Let The Good Times Roll,
Apocalypse Now,1979,Suzie Q,Flash Cadillac
Apocalypse Now,1979,Excerpts from 'Mnong Gar Music from Vietnam',
Apocalypse Now,1979,Collection Musee de l'homme,
Apocalypse Now,1979,Surfin' Safari,
Apocalypse Now,1979,Sonnerie Aux Morts,
Cinema Paradiso,1988,Nuovo Cinema Paradiso (Titoli),
Cinema Paradiso,1988,Maturita' - Maturity,
Cinema Paradiso,1988,Tema d'Amore - Love Theme,
Cinema Paradiso,1988,Infanzia e Maturita' - Childhood and Manhood,
Cinema Paradiso,1988,Ripensandola - While Thinking About Her Again,
Cinema Paradiso,1988,Cinema in Fiamme - Cinema on Fire (Extended Version),
Cinema Paradiso,1988,Tema d'Amore - Love Theme (2nd Version),
Cinema Paradiso,1988,Toto and Alfredo,
Cinema Paradiso,1988,Dopo il Crollo - After the Destruction (Extended Version),
Cinema Paradiso,1988,Tema d'Amore per Nata - Love Theme for Nata,
Cinema Paradiso,1988,Visita al Cinema - Visit to the Cinema,
Cinema Paradiso,1988,Prima Giovinezza - First Youth,
Cinema Paradiso,1988,Quattro Interludi - Four Interludes,
Cinema Paradiso,1988,"Fuga, Ricerca e Ritorno - Runaway, Search and Return",
Cinema Paradiso,1988,From American Sex Appeal to the First Fellini,
Cinema Paradiso,1988,Tema d'Amore - Love Theme (3rd Version),
Cinema Paradiso,1988,Proiezione per Due - Projection for Two,
Cinema Paradiso,1988,Toto and Alfredo (2nd Version),
Cinema Paradiso,1988,Tema della Bicicletta - Bicycle Theme,
Cinema Paradiso,1988,Visita al Cinema - Visit to the Cinema,
Indiana Jones and the Raiders of the Lost Ark,1981,I am the Monarch of the Sea,
Indiana Jones and the Raiders of the Lost Ark,1981,A British Tar,
Django Unchained,2012,Django Theme Song (English Version),"Luis Bacalov, Rocky Roberts"
Django Unchained,2012,Rito finale,
Django Unchained,2012,The Braying Mule,
Django Unchained,2012,Main Titles Theme Song (Lo chiamavano King),"Luis Bacalov, Edda Dell'Orso"
Django Unchained,2012,Norme con ironie,
Django Unchained,2012,Gavotte,
Django Unchained,2012,Town of Silence,Luis Bacalov
Django Unchained,2012,Town of Silence (2nd Version),Luis Bacalov
Django Unchained,2012,Freedom,Anthony Hamilton & Elayna Boynton
Django Unchained,2012,La Corsa (2nd Version),Luis Bacalov
Django Unchained,2012,I Got a Name,Jim Croce
Django Unchained,2012,Dies Irae (Requiem),Warsaw Philharmonic Orchestra (as Warsaw Philharmonic Orchestra)
Django Unchained,2012,I giorni dell'ira,
Django Unchained,2012,The Big Risk,
Django Unchained,2012,100 Black Coffins,Rick Ross
Django Unchained,2012,Minacciosamente Lotano,
Django Unchained,2012,Trackers Chant,"Ted Neeley, Bruce Yauger (as Bruce Landon Yauger)"
Django Unchained,2012,Nicaragua,
Django Unchained,2012,Ancora Qui,Elisa
Django Unchained,2012,Sister Sara's Theme,
Django Unchained,2012,Blue Dark Waltz,
Django Unchained,2012,Für Elise,
Django Unchained,2012,Unchained (The Payback/Untouchable),Tupac Shakur (as 2Pac)
Django Unchained,2012,Freedom,Richie Havens
Django Unchained,2012,Who Did That to You?,John Legend
Django Unchained,2012,Ain't No Grave (Black Opium Remix),Johnny Cash
Django Unchained,2012,Too Old to Die Young,Dege Legg (as Brother Dege)
Django Unchained,2012,Un monumento,
Django Unchained,2012,Trinity: Titoli,Annibale E I Cantori Moderni
Django Unchained,2012,Dopo la congiura,
Django Unchained,2012,Ode to Django,
Django Unchained,2012,Will the Circle Be Unbroken,Nitty Gritty Dirt Band
Django Unchained,2012,In the Sweet By-and-By,Samuel L. Jackson
WALL·E,2008,Put On Your Sunday Clothes,"Michael Crawford (uncredited), Danny Lockin (uncredited), Barbra Streisand (uncredited), Tommy Tune (uncredited), Joyce Ames (uncredited) and the Company (uncredited)"
WALL·E,2008,BNL Jingle,
WALL·E,2008,It Only Takes a Moment,
WALL·E,2008,La Vie en Rose,Louis Armstrong
WALL·E,2008,"Don't Worry, Be Happy",
WALL·E,2008,Also Sprach Zarathustra,
WALL·E,2008,Down to Earth,"Peter Gabriel, featuring The Soweto Gospel Choir"
The Lives of Others,2006,"Ich Wurde Wenn Ich Wusste, Dass Ich Konnte","4PS Lyrics By Kurt Demmler Music By Joachim-Franz Bartzsch Published By Edition Air Franz (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH"
The Lives of Others,2006,Gral,Manfred Ludwig Sextett feat. Ernst-Ludwig Petrowsky
The Lives of Others,2006,E.W. Als Gruss,Manfred Ludwig Sextett feat. Ernst-Ludwig Petrowsky
The Lives of Others,2006,Champus-Lied,Angelika Mann Lyrics By Fred Gertz Music By Joachim-Franz Bartzsch
The Lives of Others,2006,Wie Ein Stern,"Frank Schöbel Lyrics By Dieter Lietz Music By Hans-Georg Schmiedecke Published By Lied Der Zeit GmbH (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH"
The Lives of Others,2006,Rock 'N Roll Im Stadtpark,Pankow
The Lives of Others,2006,Stell Dich Mitten In Den Regen,"Bayon Lyrics By Wolfgang Borchert Music By Christoph Theusner (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH"
The Lives of Others,2006,Die Sonate vom Guten Menschen,Sebastian Koch
The Lives of Others,2006,Ut Jucundas,
The Lives of Others,2006,Die Unsichtbare Front,
The Lives of Others,2006,HGW XX/7,
The Lives of Others,2006,Linienstraße,The City of Prague Philharmonic Orchestra
The Lives of Others,2006,Es Gibt Momente,"Hansi Biebl (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH"
The Lives of Others,2006,Albatros,"Karat Lyrics By Norbert Kaiser Music By Ullrich Swillms (as Ed Swillms) Published By Harth Musikverlag / Bergisch Gladbach (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH"
The Lives of Others,2006,Tausend Augen,"Silly (P) 2007 Colosseum Music Entertainment GmbH, Licensed From Sony BMG Music Entertainment (Germany) GmbH"
The Lives of Others,2006,Das Leben Der Anderen,The City of Prague Philharmonic Orchestra
The Lives of Others,2006,Verrat,The City of Prague Philharmonic Orchestra
The Lives of Others,2006,Gesichter Der Liebe,The City of Prague Philharmonic Orchestra
The Lives of Others,2006,"Georg Dreyman, Der Dichter",
Sunset Blvd.,1950,The Paramount-Don't-Want-Me Blues,Jay Livingston and Ray Evans at Artie's party
Sunset Blvd.,1950,Buttons and Bows,
Sunset Blvd.,1950,Charmaine/Diane,
Sunset Blvd.,1950,"Toccata and Fugue in D Minor, BWV 565",
Sunset Blvd.,1950,Auld Lang Syne,
Sunset Blvd.,1950,La Cumparsita,
Sunset Blvd.,1950,Sobre las Olas (Over the Waves),
The Shining,1980,The Shining (Main Title),Wendy Carlos and Rachel Elkind
The Shining,1980,Lontano,Sinfonie-Orchester des Südwestfunks
The Shining,1980,The Awakening of Jakob,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (as Polish Radio National Symphony Orchestra)
The Shining,1980,Utrenja - Ewangelia,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach
The Shining,1980,Utrenja - Kanon Paschy,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited)
The Shining,1980,De Natura Sonoris No. 1,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited)
The Shining,1980,De Natura Sonoris No. 2,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited)
The Shining,1980,Polymorphia,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach (uncredited)
The Shining,1980,Masquerade,Jack Hylton and His Orchestra
The Shining,1980,"Midnight, the Stars and You",
The Shining,1980,It's All Forgotten Now,
The Shining,1980,Home (When Shadows Fall),Henry Hall and the Gleneagles Hotel Band
The Shining,1980,Kanon for 52 String Orchestra and Tape,
The Shining,1980,"Music for Strings, Percussion, and Celesta (Movement III)",Berliner Philharmoniker (uncredited)
Paths of Glory,1957,La Marseillaise,
Paths of Glory,1957,"Künstlerleben (Artist's Life), Op.316",
Paths of Glory,1957,Der Treue Husar,
The Great Dictator,1940,Hungarian Dance No. 5,
The Great Dictator,1940,"Prelude to 'Lohengrin' , Act I",
The Great Dictator,1940,"String Quintet in E, Op. 13 No. 5: Minuet",
Avengers: Infinity War,2018,The Rubberband Man,The Spinners
Avengers: Infinity War,2018,Black Panther Theme,
Witness for the Prosecution,1957,I May Never Go Home Anymore,
American Beauty,1999,Because,Elliott Smith
American Beauty,1999,On Broadway,
American Beauty,1999,Tenderfoot,Zen Dadio
American Beauty,1999,All Right Now,Free
American Beauty,1999,We Haven't Turned Around,Gomez
American Beauty,1999,Something Grand,Hilton Ruiz Ensemble
American Beauty,1999,American Woman,The Guess Who
American Beauty,1999,All Along The Watchtower,
American Beauty,1999,Use Me,
American Beauty,1999,Cancer For The Cure,Eels
American Beauty,1999,The Seeker,The Who
American Beauty,1999,Don't Rain On My Parade,Bobby Darin and Annette Bening
American Beauty,1999,As Long As I'm Singing,
American Beauty,1999,Open The Door,
American Beauty,1999,Don't Let It Bring You Down,Annie Lennox
American Beauty,1999,Call Me Irresponsible,Bobby Darin
American Beauty,1999,Where Love Has Gone,Bobby Darin
American Beauty,1999,Bali Ha'i,Peggy Lee
The Dark Knight Rises,2012,Pavane pour une infante défunte,
The Dark Knight Rises,2012,The Star-Spangled Banner,Charles Jackson Coyne (as CJ Coyne)
The Dark Knight Rises,2012,"Rosen aus dem Süden, Op. 388",
Spider-Man: No Way Home,2021,I Zimbra,Talking Heads
Spider-Man: No Way Home,2021,Native New Yorker,Odyssey
Spider-Man: No Way Home,2021,Scraper,Liquid Liquid
Spider-Man: No Way Home,2021,No Sleep 'till Brooklyn,
Spider-Man: No Way Home,2021,Flashpoint,Eugene Thompson
Spider-Man: No Way Home,2021,Theme from Doctor Strange,
Spider-Man: No Way Home,2021,"Concerto for Two Violins in G Major, RV 516: III. Allegro","Béla Bánfalvi, Zsuzsa Nemeth, Budapest Strings"
Spider-Man: No Way Home,2021,Doc Ock Is Born,
Spider-Man: No Way Home,2021,Enter the Goblin,
Spider-Man: No Way Home,2021,Spider-Man Main Title,
Spider-Man: No Way Home,2021,I'm Electro,
Spider-Man: No Way Home,2021,Deck the Halls,
Spider-Man: No Way Home,2021,Main Title - Young Peter,
Spider-Man: No Way Home,2021,The Magic Number,De La Soul
Spider-Man: No Way Home,2021,Bailando Cumbia,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Try a Little Tenderness,Studio Orchestra during the opening credits
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,When Johnny Comes Marching Home,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,We'll Meet Again,Vera Lynn and chorus at the end
Joker,2019,Temptation Rag,Claude Bolling
Joker,2019,Here Comes The King,
Joker,2019,Murray's Theme,Ellis Drane and his Jazz Orchestra (uncredited)
Joker,2019,Hello News,
Joker,2019,Rooftop,
Joker,2019,Everybody Plays The Fool,The Main Ingredient
Joker,2019,The Moon Is A Silver Dollar,Lawrence Welk and His Orchestra
Joker,2019,Slap That Bass,Fred Astaire and The RKO Radio Studio Chorus & Orchestra
Joker,2019,If You're Happy And You Know It,Chaim Tannenbaum
Joker,2019,Send In The Clowns,Carl Lundstedt (uncredited)
Joker,2019,My Name Is Carnival,
Joker,2019,Smile,Jimmy Durante
Joker,2019,That's Life,Ellis Drane and his Jazz Orchestra (uncredited)
Joker,2019,Murray's Late Night,
Joker,2019,Toy Dept. (Toy Waltz),Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,Bedding Dept.,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,Descends In Lift,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,In Basement,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,Joins Girl In Bedding Dept.,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,Charlie Meets Burglars,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,Bottle Bursts,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,That's Life,Frank Sinatra
Joker,2019,Rock 'n' Roll (Part 2),Gary Glitter
Joker,2019,Love Theme,Sinfonieorchester des Norddeutschen Rundfunks (as North German Radio Symphony Orchestra)
Joker,2019,Spanish Flea,Ray Davies and His Button Down Brass
Joker,2019,White Room,Cream
Joker,2019,Send In The Clowns,Frank Sinatra
Spider-Man: Into the Spider-Verse,2018,People Get Up and Drive Your Funky Soul (Remix),James Brown
Spider-Man: Into the Spider-Verse,2018,Theme from Spiderman,
Spider-Man: Into the Spider-Verse,2018,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
Spider-Man: Into the Spider-Verse,2018,Capullito de Alelí,"Tato Díaz, Elena Rita Ortiz & The Rafael Hernández Orchestra"
Spider-Man: Into the Spider-Verse,2018,Familia (Spider-Man: Into the Spider-Verse),Nicki Minaj & Anuel AA featuring Bantu
Spider-Man: Into the Spider-Verse,2018,Invincible,Aminé
Spider-Man: Into the Spider-Verse,2018,Save the Day,"Ski Mask The Slump God (as Ski Mask), Jacquees and Coi Leray (as Coi LeRay)"
Spider-Man: Into the Spider-Verse,2018,Memories,Thutmose
Spider-Man: Into the Spider-Verse,2018,Chemical Calisthenics,Blackalicious featuring Cut Chemist
Spider-Man: Into the Spider-Verse,2018,Hypnotize,Herb Alpert
Spider-Man: Into the Spider-Verse,2018,Buss This,Ghetto Philharmonic
Spider-Man: Into the Spider-Verse,2018,The Number Song (Cut Chemist Remix),DJ Shadow
Spider-Man: Into the Spider-Verse,2018,The Choice Is Yours,Johnny 'Hammond' Smith
Spider-Man: Into the Spider-Verse,2018,Apache,The Incredible Bongo Band
Spider-Man: Into the Spider-Verse,2018,Mary Mary,Run-D.M.C. (as Run-DMC)
Spider-Man: Into the Spider-Verse,2018,Because I Got It Like That,Jungle Brothers
Spider-Man: Into the Spider-Verse,2018,Spidey Bells (A Hero's Lament),
Spider-Man: Into the Spider-Verse,2018,Scared of the Dark,Lil' Wayne (as Lil Wayne) and Ty Dolla $ign
Spider-Man: Into the Spider-Verse,2018,Mumble Rap,Belly
Spider-Man: Into the Spider-Verse,2018,St. Elmo's Fire (Man in Motion),John Parr
Spider-Man: Into the Spider-Verse,2018,To the End,Elliphant
Spider-Man: Into the Spider-Verse,2018,Hide,Juice WRLD
Spider-Man: Into the Spider-Verse,2018,Want It Here,Xenia Pax
Spider-Man: Into the Spider-Verse,2018,Start a Riot,Duckwrth and Shaboozey
Spider-Man: Into the Spider-Verse,2018,What's Up Danger,Blackway & Black Caviar
Spider-Man: Into the Spider-Verse,2018,Elevate,"DJ Khalil featuring Denzel Curry, Cordae, Swavay and Trevor Rich"
Spider-Man: Into the Spider-Verse,2018,Way Up,Jaden Smith
Spider-Man: Into the Spider-Verse,2018,Home,Vince Staples
Spider-Man: Into the Spider-Verse,2018,Salsa en la Calle,Sr Ortegon
Spider-Man: Into the Spider-Verse,2018,Taut Walk,
Old Boy,2003,Bring My Love,
Old Boy,2003,Winter,
Old Boy,2003,Waltz,
Toy Story,1995,You've Got a Friend in Me,
Toy Story,1995,Strange Things,
Toy Story,1995,I Will Go Sailing No More,
Toy Story,1995,Pop Goes the Weasel,
Toy Story,1995,Hakuna Matata,Nathan Lane (uncredited) and Ernie Sabella (uncredited)
Toy Story,1995,You've Got a Friend in Me,Randy Newman & Lyle Lovett
Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492, Act IV, Ah Tutti Contenti",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Don Giovanni, K. 527, A Cenar Teco, Da Qual Tremore Insolito...",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Axur, Re d'Ormus: Finale",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384, Marten Aller Arten",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Die Zauberflöte (The Magic Flute), K. 620, Aria No. 14, Der Holle Rache Kocht",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Concerto for Piano in E Flat Major, K. 482, 3rd Movement, Allegro",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Concerto for Piano in D Minor, K. 466",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields)
Amadeus,1984,"Symphony No. 25 in G Minor, K. 183: 1st Movement",The Academy of St. Martin-in-the-Fields
Amadeus,1984,"Lacrimosa, Requiem Mass in D, K. 626",The Academy of St. Martin-in-the-Fields
Amadeus,1984,"Harpsichord Piece in F Major, K. 33B",Young Mozart on harpsichord and on violin when blindfolded
Amadeus,1984,Caro Mio Ben,The Academy of St. Martin-in-the-Fields
Amadeus,1984,"Adagio and Rondo for Glass Harmonica, Flute, Oboe, Viola and Cello, K. 617",
Amadeus,1984,"Confutatis, Requiem Mass in D, K. 626",
Amadeus,1984,Serenade K. 361 Gran Partita for 13 Wind Instruments: Adagio,
Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492: Act 1 - Non Più Andrai (Overture)",
Amadeus,1984,"A Little Night Music Serenade in G for Strings 'Eine Kleine Nachtmusik', K. 525, 1st Movement",
Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384: Turkish Finale",
Amadeus,1984,"Mass in C Minor, K. 427: Kyrie",
Amadeus,1984,"Concerto for Flute and Harp, K. 299 2nd Movement",
Amadeus,1984,"Allegro Moderato from Symphony No. 29 in A Major, K. 201",
Amadeus,1984,Concerto No. 10 for Two Pianos and Orchestra in E-Flat Minor (K. 365) 3rd Movement,
Amadeus,1984,"Allegro Maestoso from Sinfonia Concertante for Violin, Viola, and Orchestra in E-flat Major, K. 364",
Amadeus,1984,"Piano Concerto No. 15 in B-Flat, K. 450: III. Allegro",
Amadeus,1984,Ich Möchte Wohl Der Kaiser Sein (K539),
Amadeus,1984,Die Zauberflöte (The Magic Flute) Act 2 - Pa-Pa-Pa-Pa-Pa-Pa-Papagena!,
Amadeus,1984,Die Zauberflöte (The Magic Flute) Act 2 - Ein Mädchen Oder Weibchen,
Amadeus,1984,"Six German Dances, K. 509: No. 1 in D Major",
Amadeus,1984,"Don Giovanni, K. 527: Overture",
Amadeus,1984,"Axur, Re d'Ormus: Act IV: Son Queste Le Speranze",
Amadeus,1984,"Rex Tremendae Majestatis, Requiem, K. 626",
Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act I: Duettino: Cinque...Dieci...Venti",
Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act I, Singt dem Grossen Bassa Lieder",
Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act III: Finale: Amanti Costanti (Ecco la Marcia)",
Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act II: Duet: Vivat Bacchus! Bacchus Lebe!",
Amadeus,1984,"Die Zauberflöte (The Magic Flute), K. 620/Act I: Overture",
Amadeus,1984,"Dies Irae, Requiem Mass in D, K. 626",
Amadeus,1984,"Introitus, Requiem Mass in D, K. 626",
Amadeus,1984,"Don Giovanni, K. 527: Act II, Commendatore Scene",
Amadeus,1984,"Don Giovanni, K. 527: Act I, La Ci Darem La Mano",
Amadeus,1984,Bubak and Hungaricus,
Amadeus,1984,Stabat Mater; Quando Corpus Morietur and Amen,
Coco,2017,Remember Me,
Coco,2017,Everyone Knows Juanita,Gael García Bernal
Coco,2017,Un Poco Loco,Anthony Gonzalez & Gael García Bernal
Coco,2017,Proud Corazón,Anthony Gonzalez
Coco,2017,The World Es Mi Familia,Anthony Gonzalez & Antonio Sol
Coco,2017,Allá en el Rancho Grande,
Coco,2017,La Llorona,Alanna Ubach & Antonio Sol
Coco,2017,Ciudad Victoria,
Coco,2017,Dora's Dance,
Coco,2017,La Petenera,
Coco,2017,La Zandunga,
Coco,2017,Jálale,Instituto Mexicano de Sonido (as Mexican Institute of Sound)
Coco,2017,"Hoy No Fío, Mañana Sí",Instituto Mexicano de Sonido (as Mexican Institute of Sound)
Coco,2017,Remember Me (Dúo),Miguel featuring Natalia Lafourcade
Coco,2017,Much Needed Advice,Benjamin Bratt and Antonio Sol
Inglourious Basterds,2009,The Green Leaves of Summer,The Nick Perito Orchestra (as Nick Perito & His Orchestra)
Inglourious Basterds,2009,The Verdict,Ennio Morricone
Inglourious Basterds,2009,L'incontro Con La Figlia,Ennio Morricone
Inglourious Basterds,2009,White Lightning (Main Title),Charles Bernstein from the motion picture White Lightning (1973)
Inglourious Basterds,2009,Il Mercenario (Ripresa),Ennio Morricone
Inglourious Basterds,2009,Slaughter,Billy Preston
Inglourious Basterds,2009,Algeri: 1 Novembre 1954 (Battle of Algiers),
Inglourious Basterds,2009,The Surrender,Ennio Morricone
Inglourious Basterds,2009,One Silver Dollar,The Film Studio Orchestra
Inglourious Basterds,2009,Hound Chase (Intro),Charles Bernstein from the motion picture White Lightning (1973)
Inglourious Basterds,2009,Al di là della legge,Riz Ortolani
Inglourious Basterds,2009,Bath Attack,Charles Bernstein
Inglourious Basterds,2009,Claire's First Appearence,Jacques Loussier
Inglourious Basterds,2009,The Fight,Jacques Loussier
Inglourious Basterds,2009,Davon geht die Welt nicht unter,Zarah Leander from Die große Liebe (1942)
Inglourious Basterds,2009,The Man with the Big Sombrero,Samantha Shelton and Michael Andrew
Inglourious Basterds,2009,Ich wollt ich waer ein Huhn,"Lilian Harvey, Willy Fritsch"
Inglourious Basterds,2009,Main Theme,Jacques Loussier
Inglourious Basterds,2009,Cat People (Putting Out the Fire),David Bowie
Inglourious Basterds,2009,Mystic and Severe,Ennio Morricone
Inglourious Basterds,2009,The Devil's Rumble,Davie Allan and The Arrows from the motion picture Devil's Angels (1967)
Inglourious Basterds,2009,What'd I Say,Rare Earth
Inglourious Basterds,2009,Zulus,"Elmer Bernstein, conducting the Royal Philharmonic Orchestra"
Inglourious Basterds,2009,Tiger Tank,
Inglourious Basterds,2009,Eastern Condors,
Inglourious Basterds,2009,Un Amico,Ennio Morricone
Inglourious Basterds,2009,Rabbia e Tarantella,Ennio Morricone
The Boat,1981,La Paloma,Rosita Serrano
The Boat,1981,J'Attendrai,Rina Ketty
The Boat,1981,It's a Long Way to Tipperary,The Red Army Choir
The Boat,1981,Erzherzog-Albretch-Marsch,
The Boat,1981,Sing Nachtigall Sing,Evelyn Künneke
The Boat,1981,Heimat deine Sterne,Wilhelm Strienz
The Boat,1981,Mon Gars,Rita Cadillac
The Boat,1981,Westerwaldlied,
The Boat,1981,Muss i' denn zum Städtele hinaus,
The Boat,1981,Parlez-moi d'Amour,Lucienne Boyer
The Boat,1981,Varsity Rag,
Avengers: Endgame,2019,Dear Mr. Fantasy,Traffic
Avengers: Endgame,2019,Ant-Man Theme,
Avengers: Endgame,2019,Let's Go,
Avengers: Endgame,2019,Supersonic Rocket Ship,The Kinks
Avengers: Endgame,2019,Doom and Gloom,The Rolling Stones
Avengers: Endgame,2019,Doctor Strange Theme,
Avengers: Endgame,2019,Hey Lawdy Mama,Steppenwolf
