name,year,song_name,performed_by
Forrest Gump,1994,Hanky Panky,Tommy James & The Shondells
Forrest Gump,1994,Blowin' in the Wind,
Forrest Gump,1994,Land of 1000 Dances,Wilson Pickett
Forrest Gump,1994,Fortunate Son,Creedence Clearwater Revival
Forrest Gump,1994,I Can't Help Myself (Sugar Pie Honey Bunch),The Four Tops
Forrest Gump,1994,Respect,Aretha Franklin
Forrest Gump,1994,Rainy Day Women #12 & 35,
Forrest Gump,1994,Sloop John B,The Beach Boys
Forrest Gump,1994,All Along The Watchtower,The Jimi Hendrix Experience
Forrest Gump,1994,Soul Kitchen,The Doors
Forrest Gump,1994,California Dreamin',The Mamas and the Papas
Forrest Gump,1994,For What It's Worth,Buffalo Springfield
Forrest Gump,1994,What the World Needs Now is Love,Jackie DeShannon (as Jackie De Shannon)
Forrest Gump,1994,Webster's Boomer,
Forrest Gump,1994,"Hello, I Love You",The Doors
Forrest Gump,1994,People Are Strange,The Doors
Forrest Gump,1994,Break On Through (To the Other Side),The Doors
Forrest Gump,1994,Mrs. Robinson,Simon & Garfunkel
Forrest Gump,1994,Volunteers,Jefferson Airplane
Forrest Gump,1994,"Hey, Joe",The Jimi Hendrix Experience
Forrest Gump,1994,Where Have All the Flowers Gone?,
Forrest Gump,1994,Let's Get Together,The Youngbloods
Forrest Gump,1994,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie
Forrest Gump,1994,"Turn, Turn, Turn! (To Everything There is a Season)",The Byrds
Forrest Gump,1994,Aquarius,The 5th Dimension (as The Fifth Dimension)
Forrest Gump,1994,Joy to the World,Three Dog Night
Forrest Gump,1994,Everybody's Talkin',Harry Nilsson
Forrest Gump,1994,Silent Night,
Forrest Gump,1994,Stoned Love,The Supremes
Forrest Gump,1994,Thanks for the Memory,
Forrest Gump,1994,Love Her Madly,The Doors
Forrest Gump,1994,Let's Work Together,Canned Heat
Forrest Gump,1994,Raindrops Keep Fallin' on My Head,B.J. Thomas
Forrest Gump,1994,Tie a Yellow Ribbon 'Round the Ole Oak Tree,Tony Orlando & Dawn (as Tony Orlando and Dawn)
Forrest Gump,1994,Jesus on the Mainline,
Forrest Gump,1994,Get Down Tonight,KC & The Sunshine Band
Forrest Gump,1994,Free Bird,Lynyrd Skynyrd
Forrest Gump,1994,Mr. President (Have Pity on the Working Man),
Forrest Gump,1994,My Rock,
Forrest Gump,1994,Sweet Home Alabama,Lynyrd Skynyrd
Forrest Gump,1994,Plant My Feet on Higher Ground,
Forrest Gump,1994,I've Got a New Home,
Forrest Gump,1994,It Keeps You Runnin',The Doobie Brothers
Forrest Gump,1994,Running On Empty,
Forrest Gump,1994,I've Got to Use My Imagination,Gladys Knight & The Pips
Forrest Gump,1994,Go Your Own Way,Fleetwood Mac
Forrest Gump,1994,On The Road Again,
Forrest Gump,1994,Against The Wind,Bob Seger & The Silver Bullet Band
Fight Club,1999,Coffee Shop Zak,
Fight Club,1999,Svarga,Vas
Fight Club,1999,Girl From Ypsilanti,
Fight Club,1999,Cafeteria,Cezame Argile
Fight Club,1999,Smoke Stack,Junk Ferry
Fight Club,1999,Forbidden To Love,
Fight Club,1999,Easy Smack It Up,The Odditorium
Fight Club,1999,Splended & 4M15,
Fight Club,1999,Goin' Out West,Tom Waits
Fight Club,1999,"No Love, No Nothin'",Marlene Dietrich
Fight Club,1999,Theme from Valley of the Dolls,
Fight Club,1999,KDFW News Theme,
